Study ID	Patient ID	Sample ID	MDM2: mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A051	TCGA-AP-A051-01	2.5475
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A052	TCGA-AP-A052-01	-0.7206
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A054	TCGA-AP-A054-01	2.2855
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A056	TCGA-AP-A056-01	2.1157
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A059	TCGA-AP-A059-01	0.3306
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05A	TCGA-AP-A05A-01	-1.5215
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05D	TCGA-AP-A05D-01	-2.4493
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05H	TCGA-AP-A05H-01	-3.5174
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05J	TCGA-AP-A05J-01	-2.7482
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05N	TCGA-AP-A05N-01	0.9779
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05O	TCGA-AP-A05O-01	2.0601
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A05P	TCGA-AP-A05P-01	1.4157
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0L8	TCGA-AP-A0L8-01	-0.2867
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0L9	TCGA-AP-A0L9-01	0.796
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LD	TCGA-AP-A0LD-01	-0.28
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LE	TCGA-AP-A0LE-01	-0.1841
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LF	TCGA-AP-A0LF-01	-0.5611
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LG	TCGA-AP-A0LG-01	0.9747
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LH	TCGA-AP-A0LH-01	-0.0404
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LI	TCGA-AP-A0LI-01	-1.8215
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LJ	TCGA-AP-A0LJ-01	1.692
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LL	TCGA-AP-A0LL-01	-0.3185
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LM	TCGA-AP-A0LM-01	0.4338
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LN	TCGA-AP-A0LN-01	0.2053
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LO	TCGA-AP-A0LO-01	0.107
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LP	TCGA-AP-A0LP-01	0.9547
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LS	TCGA-AP-A0LS-01	2.1922
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LT	TCGA-AP-A0LT-01	0.1251
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A0LV	TCGA-AP-A0LV-01	0.7471
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DH	TCGA-AP-A1DH-01	0.7677
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DK	TCGA-AP-A1DK-01	1.6686
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DM	TCGA-AP-A1DM-01	0.7592
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DO	TCGA-AP-A1DO-01	2.1735
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DP	TCGA-AP-A1DP-01	3.2406
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DQ	TCGA-AP-A1DQ-01	0.8353
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DR	TCGA-AP-A1DR-01	0.8644
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1DV	TCGA-AP-A1DV-01	2.3168
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1E0	TCGA-AP-A1E0-01	2.0413
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1E1	TCGA-AP-A1E1-01	1.523
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1E3	TCGA-AP-A1E3-01	0.4948
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A1E4	TCGA-AP-A1E4-01	0.8031
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A3K1	TCGA-AP-A3K1-01	-1.2103
ucec_tcga_pan_can_atlas_2018	TCGA-AP-A5FX	TCGA-AP-A5FX-01	0.8826
ucec_tcga_pan_can_atlas_2018	TCGA-AW-A1PO	TCGA-AW-A1PO-01	1.5317
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A05S	TCGA-AX-A05S-01	0.4062
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A05T	TCGA-AX-A05T-01	1.5827
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A05U	TCGA-AX-A05U-01	1.1851
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A05W	TCGA-AX-A05W-01	2.487
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A05Y	TCGA-AX-A05Y-01	-0.4702
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A05Z	TCGA-AX-A05Z-01	-1.1591
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A060	TCGA-AX-A060-01	0.1086
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A062	TCGA-AX-A062-01	1.108
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A063	TCGA-AX-A063-01	1.3238
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A064	TCGA-AX-A064-01	0.2151
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A06B	TCGA-AX-A06B-01	0.6468
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A06F	TCGA-AX-A06F-01	0.2778
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A06H	TCGA-AX-A06H-01	1.1744
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A06J	TCGA-AX-A06J-01	0.3716
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A06L	TCGA-AX-A06L-01	2.3996
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A0IS	TCGA-AX-A0IS-01	0.4956
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A0IU	TCGA-AX-A0IU-01	-0.9089
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A0IW	TCGA-AX-A0IW-01	-1.8068
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A0IZ	TCGA-AX-A0IZ-01	0.882
